rating,product_id,description
5,55,
2,34,
3,14,
4,7,
3,21,
4,3,
5,22,
1,45,
2,54,
1,5,
1,14,
3,26,
1,30,
4,52,
3,46,
2,47,
3,23,
4,8,
5,24,
1,27,
3,10,
5,52,
5,7,
4,24,
2,37,
1,25,
3,53,
3,16,
1,37,
5,38,
5,18,
4,55,
2,23,
3,32,
4,44,
5,52,
3,31,
2,19,
3,11,
5,46,
3,23,
1,45,
3,46,
4,14,
5,35,
2,43,
5,4,
5,27,
5,30,
2,13,
4,49,
4,33,
1,41,
5,10,
2,43,
1,25,
1,48,
3,26,
1,21,
4,7,
2,32,
3,36,
1,31,
5,23,
5,1,
5,48,
5,1,
4,36,
2,23,
1,22,
3,15,
2,35,
5,35,
5,10,
2,4,
3,4,
5,43,
4,38,
1,14,
3,50,
3,7,
1,35,
4,35,
1,32,
4,54,
3,33,
3,36,
3,40,
5,22,
2,37,
3,28,
5,16,
4,37,
2,24,
4,24,
2,48,
5,1,
4,54,
4,1,
3,36,
5,8,
1,50,
2,44,
4,20,
3,14,
1,14,
2,31,
4,14,
1,48,
3,6,
4,14,
5,43,
2,35,
4,6,
5,3,
1,31,
4,35,
5,5,
1,12,
3,51,
4,17,
3,45,
2,53,
2,52,
3,42,
4,19,
2,5,
3,49,
5,53,
2,20,
4,23,
3,28,
4,16,
5,48,
4,1,
3,21,
3,29,
4,53,
1,52,
2,25,
3,55,
1,9,
4,4,
5,32,
1,26,
4,9,
4,55,
2,13,
5,19,
4,35,
2,4,
1,12,
4,47,
4,22,
2,21,
3,49,
5,26,
5,11,
5,51,
3,3,
3,49,
3,54,
5,23,
4,34,
4,51,
1,11,
3,26,
1,44,
5,28,
3,38,
4,51,
3,20,
3,29,
3,15,
3,1,
4,12,
2,7,
1,38,
5,2,
3,21,
2,49,
4,53,
5,11,
2,46,
5,35,
